,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",65116038,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",37534075,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
3,"Heat Waves","Glass Animals",27958250,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"STAY (with Justin Bieber)","The Kid LAROI",22300053,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",20023371,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
6,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",19198392,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
7,"Cold Heart - PNAU Remix","Elton John",18830390,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
8,Envolver,Anitta,18274808,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",18215192,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
10,"Una Noche en Medellín","Cris Mj",17319225,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
11,abcdefu,GAYLE,16541380,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
12,Ghost,"Justin Bieber",16431056,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"MIDDLE OF THE NIGHT","Elley Duhé",16205876,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
14,MAMIII,"Becky G",15879157,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
15,Woman,"Doja Cat",15375723,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,Shivers,"Ed Sheeran",15251810,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
17,Desesperados,"Rauw Alejandro",15207740,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
