,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,abcdefu,GAYLE,31419176,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2,"Heat Waves","Glass Animals",29386724,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,"STAY (with Justin Bieber)","The Kid LAROI",29120490,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",26055340,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Easy On Me",Adele,25806840,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"Cold Heart - PNAU Remix","Elton John",25452394,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",24495057,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,Sacrifice,"The Weeknd",21336565,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
9,Shivers,"Ed Sheeran",19650576,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",19426753,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
11,"Do It To It",ACRAZE,18489179,https://open.spotify.com/track/20on25jryn53hWghthWWW3
12,Pepas,Farruko,17799410,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
13,Infinity,"Jaymes Young",16848630,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
14,"Bad Habits","Ed Sheeran",16254690,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,Woman,"Doja Cat",15931008,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,"My Universe",Coldplay,15894217,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
17,"good 4 u","Olivia Rodrigo",14698864,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,"Fingers Crossed","Lauren Spencer-Smith",14573490,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
19,Ghost,"Justin Bieber",13916815,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
20,"Where Are You Now","Lost Frequencies",13314522,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
21,"Kiss Me More (feat. SZA)","Doja Cat",13282665,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,Desesperados,"Rauw Alejandro",13083857,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
23,"Need to Know","Doja Cat",12707318,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
