,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",65611902,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",35611513,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
3,"Heat Waves","Glass Animals",28123419,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"STAY (with Justin Bieber)","The Kid LAROI",22710916,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",20841307,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
6,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",19670058,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
7,"Cold Heart - PNAU Remix","Elton John",18940792,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",18211959,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,Envolver,Anitta,17888791,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
10,"Una Noche en Medellín","Cris Mj",17665307,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
11,"MIDDLE OF THE NIGHT","Elley Duhé",17602635,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
12,MAMIII,"Becky G",17403534,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
13,Ghost,"Justin Bieber",16914109,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
14,abcdefu,GAYLE,16251101,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
15,Woman,"Doja Cat",16006367,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,Shivers,"Ed Sheeran",15653391,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
17,Desesperados,"Rauw Alejandro",15422896,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
18,"Thousand Miles","The Kid LAROI",14937157,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
19,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,14610050,https://open.spotify.com/track/2uky0VCI2EZni0nArOPznM
20,"X ÚLTIMA VEZ","Daddy Yankee",14423132,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
21,"good 4 u","Olivia Rodrigo",13989980,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,"Easy On Me",Adele,13961204,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
23,"Where Are You Now","Lost Frequencies",13712539,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
24,"Fuera del mercado","Danny Ocean",13691108,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
25,"THATS WHAT I WANT","Lil Nas X",13646374,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
26,"The Motto",Tiësto,13233889,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
27,"Bad Habits","Ed Sheeran",13104736,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
28,PROVENZA,"KAROL G",12837015,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
29,Pepas,Farruko,12596108,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
30,"Wait a Minute!",WILLOW,12314941,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
31,"Watermelon Sugar","Harry Styles",12292801,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
32,"With you",Jimin,12209358,https://open.spotify.com/track/2gzhQaCTeNgxpeB2TPllyY
33,"Another Love","Tom Odell",12055349,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
34,Jordan,"Ryan Castro",12004718,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
35,"Blinding Lights","The Weeknd",11987739,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
36,"My Universe",Coldplay,11941142,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
37,Boyfriend,"Dove Cameron",11921566,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
38,"Light Switch","Charlie Puth",11840362,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
39,"Sweater Weather","The Neighbourhood",11295569,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
40,"Plan A","Paulo Londra",11208805,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
41,Dandelions,"Ruth B.",11128052,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
42,traitor,"Olivia Rodrigo",11106343,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
43,Infinity,"Jaymes Young",10822958,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
44,"Need to Know","Doja Cat",10772455,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
45,"Kiss Me More (feat. SZA)","Doja Cat",10743916,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
46,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,10671591,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
47,"drivers license","Olivia Rodrigo",10116296,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
48,"I Love You So","The Walters",10100758,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
49,Yonaguni,"Bad Bunny",9913914,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
50,"Save Your Tears","The Weeknd",9854621,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
51,"Levitating (feat. DaBaby)","Dua Lipa",9725715,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
52,"Happier Than Ever","Billie Eilish",9540164,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
