,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",31455156,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",27193990,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,abcdefu,GAYLE,26765150,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",25725045,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
5,"Cold Heart - PNAU Remix","Elton John",23556022,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",22093099,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Easy On Me",Adele,21749043,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,Desesperados,"Rauw Alejandro",19390328,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
9,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",19364443,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
10,"Stay Alive (Prod. SUGA of BTS)","Jung Kook",18807862,https://open.spotify.com/track/7CAdT0HdiQNlt1C7xk2hep
11,Shivers,"Ed Sheeran",18535889,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
12,MAMIII,"Becky G",18283042,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
13,Infinity,"Jaymes Young",17154141,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
14,"THATS WHAT I WANT","Lil Nas X",17143953,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
15,Pepas,Farruko,16018305,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
16,Woman,"Doja Cat",15841781,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,Ghost,"Justin Bieber",15521084,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
18,"Bad Habits","Ed Sheeran",15464214,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
19,"My Universe",Coldplay,15230867,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
20,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",14958068,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
21,Boyfriend,"Dove Cameron",14870380,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
22,"Do It To It",ACRAZE,14665199,https://open.spotify.com/track/20on25jryn53hWghthWWW3
