,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",32295565,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,abcdefu,GAYLE,31638858,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"Heat Waves","Glass Animals",28387947,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"Cold Heart - PNAU Remix","Elton John",27672367,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
5,"Easy On Me",Adele,27307694,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",26347998,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",25370000,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
8,Pepas,Farruko,21406369,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
9,"Do It To It",ACRAZE,20611311,https://open.spotify.com/track/20on25jryn53hWghthWWW3
10,Shivers,"Ed Sheeran",20430509,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,"Bad Habits","Ed Sheeran",19240645,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
12,"My Universe",Coldplay,17268944,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
13,Woman,"Doja Cat",16926501,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
14,"good 4 u","Olivia Rodrigo",16491189,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
15,"Kiss Me More (feat. SZA)","Doja Cat",15303708,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
16,Infinity,"Jaymes Young",14905037,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
17,"Blinding Lights","The Weeknd",13987668,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"MONTERO (Call Me By Your Name)","Lil Nas X",13798049,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
19,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",13699324,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
20,"love nwantiti (ah ah ah)",CKay,13081651,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
21,"Need to Know","Doja Cat",13066950,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
22,Yonaguni,"Bad Bunny",13007782,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
