,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",30110762,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,abcdefu,GAYLE,29996505,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"STAY (with Justin Bieber)","The Kid LAROI",28725287,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",26128077,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Easy On Me",Adele,24867915,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"Cold Heart - PNAU Remix","Elton John",24577621,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",23639289,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",21609396,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,Shivers,"Ed Sheeran",19283874,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,"Do It To It",ACRAZE,17368998,https://open.spotify.com/track/20on25jryn53hWghthWWW3
11,Infinity,"Jaymes Young",17193742,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
12,Pepas,Farruko,17028669,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
13,"Bad Habits","Ed Sheeran",16077720,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14,"pushin P (feat. Young Thug)",Gunna,15850800,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
15,Woman,"Doja Cat",15827629,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,Sacrifice,"The Weeknd",15712745,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
17,Desesperados,"Rauw Alejandro",15483445,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
18,"My Universe",Coldplay,15310593,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
19,"Light Switch","Charlie Puth",15024735,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
20,"good 4 u","Olivia Rodrigo",14674991,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
21,"I Love You So","The Walters",14379717,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
22,Ghost,"Justin Bieber",14150861,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
23,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",13479659,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
24,"Where Are You Now","Lost Frequencies",13395055,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
25,"Kiss Me More (feat. SZA)","Doja Cat",13322368,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
26,"Fingers Crossed","Lauren Spencer-Smith",13255158,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
27,Yonaguni,"Bad Bunny",13244275,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
28,Toxic,BoyWithUke,12758314,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
29,"Need to Know","Doja Cat",12648611,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
30,"Blinding Lights","The Weeknd",12377475,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
31,"The Motto",Tiësto,12303839,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
32,"THATS WHAT I WANT","Lil Nas X",12192574,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
33,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,12172044,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
34,"Sweater Weather","The Neighbourhood",11972340,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,"MONTERO (Call Me By Your Name)","Lil Nas X",11874178,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
36,"love nwantiti (ah ah ah)",CKay,11406052,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
37,"Oh My God",Adele,11231039,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
38,"Mon Amour - Remix",zzoilo,11220945,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
39,Beggin',Måneskin,11129653,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
40,"Malvadão 3",Xamã,11127006,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
41,Softcore,"The Neighbourhood",11105561,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
42,"Happier Than Ever","Billie Eilish",11005270,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
43,traitor,"Olivia Rodrigo",10650669,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
44,"Levitating (feat. DaBaby)","Dua Lipa",10513476,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
45,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",10412183,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
46,"drivers license","Olivia Rodrigo",10257230,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
47,"Super Gremlin","Kodak Black",10254422,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
48,"One Right Now (with The Weeknd)","Post Malone",10059644,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
49,MONEY,LISA,9946877,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
50,Medallo,Blessd,9816613,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
51,Volví,Aventura,9494797,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
52,Lost,"Frank Ocean",9375050,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
53,Dandelions,"Ruth B.",9360892,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
54,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",9287028,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
55,DÁKITI,"Bad Bunny",9000253,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
56,"Tacones Rojos","Sebastian Yatra",8968782,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
57,Excuses,"AP Dhillon",8775546,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
58,"It'll Be Okay","Shawn Mendes",8774579,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
59,"Todo De Ti","Rauw Alejandro",8755999,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
60,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,8712136,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
61,"Watermelon Sugar","Harry Styles",8616646,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
62,"Save Your Tears","The Weeknd",8360799,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
63,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",8356535,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
64,Dynamite,BTS,8328253,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
65,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",8305077,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
66,"Dark Red","Steve Lacy",8302928,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
67,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",8293820,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
