,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,abcdefu,GAYLE,32267898,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2,"STAY (with Justin Bieber)","The Kid LAROI",30097622,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,Sacrifice,"The Weeknd",29522371,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
4,"Heat Waves","Glass Animals",28898527,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"Easy On Me",Adele,27202948,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",26297758,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
7,"Cold Heart - PNAU Remix","Elton John",25912109,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",24897973,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,Shivers,"Ed Sheeran",20117876,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,"Out of Time","The Weeknd",19101458,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
11,"Is There Someone Else?","The Weeknd",19068950,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
12,"Do It To It",ACRAZE,19010114,https://open.spotify.com/track/20on25jryn53hWghthWWW3
13,Gasoline,"The Weeknd",18876791,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
14,"How Do I Make You Love Me?","The Weeknd",18711962,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
15,Pepas,Farruko,18706747,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
16,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",18355324,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
17,"Fingers Crossed","Lauren Spencer-Smith",18286101,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
18,"Bad Habits","Ed Sheeran",17096657,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
19,"My Universe",Coldplay,16328409,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
20,Woman,"Doja Cat",16258279,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
21,Infinity,"Jaymes Young",15985746,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
22,"Take My Breath","The Weeknd",15936947,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
23,"Less Than Zero","The Weeknd",15342843,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
24,"good 4 u","Olivia Rodrigo",15066560,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
