,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",30353370,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",24905049,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",23637334,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
4,abcdefu,GAYLE,22341453,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5,"Cold Heart - PNAU Remix","Elton John",21349861,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,MAMIII,"Becky G",21130191,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",19400297,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,Desesperados,"Rauw Alejandro",17879418,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
9,"Easy On Me",Adele,17324613,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
10,Shivers,"Ed Sheeran",16910484,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,Boyfriend,"Dove Cameron",16098201,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
12,Ghost,"Justin Bieber",15979360,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,Woman,"Doja Cat",15403335,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
14,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",15162911,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
15,Infinity,"Jaymes Young",15091878,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
16,"THATS WHAT I WANT","Lil Nas X",15020939,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
17,Pepas,Farruko,14730895,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
18,"Residente: Bzrp Music Sessions, Vol. 49",Bizarrap,14007874,https://open.spotify.com/track/2dG9k8jtnkjzJjUToz9i9i
19,"MIDDLE OF THE NIGHT","Elley Duhé",13981996,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
20,"Bad Habits","Ed Sheeran",13926294,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
21,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",13642155,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
22,"Where Are You Now","Lost Frequencies",13511167,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
