,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",31100119,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,abcdefu,GAYLE,29382533,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"STAY (with Justin Bieber)","The Kid LAROI",28399195,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",26549378,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Cold Heart - PNAU Remix","Elton John",25005720,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",24359577,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Easy On Me",Adele,23664897,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",21938488,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,Shivers,"Ed Sheeran",19001125,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,Desesperados,"Rauw Alejandro",18331762,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
11,Infinity,"Jaymes Young",17497105,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
12,Pepas,Farruko,17014265,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
13,"Do It To It",ACRAZE,16913051,https://open.spotify.com/track/20on25jryn53hWghthWWW3
14,Woman,"Doja Cat",16615041,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
15,"pushin P (feat. Young Thug)",Gunna,16563867,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
16,"Bad Habits","Ed Sheeran",15825856,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
17,"My Universe",Coldplay,15019487,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
18,Ghost,"Justin Bieber",14615759,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
19,"THATS WHAT I WANT","Lil Nas X",14574710,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
20,"good 4 u","Olivia Rodrigo",14327201,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
21,"I Love You So","The Walters",14324684,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
22,Yonaguni,"Bad Bunny",13882821,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
23,"Light Switch","Charlie Puth",13867573,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
24,"Where Are You Now","Lost Frequencies",13687076,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
25,Sacrifice,"The Weeknd",13382581,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
26,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",13282005,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
27,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,13250823,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
28,"Kiss Me More (feat. SZA)","Doja Cat",13030995,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
29,"Need to Know","Doja Cat",12727550,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
30,Toxic,BoyWithUke,12495388,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
31,"The Motto",Tiësto,12426272,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
32,"Fingers Crossed","Lauren Spencer-Smith",12269835,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
33,"Blinding Lights","The Weeknd",12266568,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,"Sweater Weather","The Neighbourhood",11900004,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,"Mon Amour - Remix",zzoilo,11428809,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
36,"MONTERO (Call Me By Your Name)","Lil Nas X",11382382,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
37,Softcore,"The Neighbourhood",11261327,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
38,"Oh My God",Adele,11196131,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
39,Beggin',Måneskin,11138689,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
40,"love nwantiti (ah ah ah)",CKay,11088410,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
41,traitor,"Olivia Rodrigo",10785425,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
42,"Happier Than Ever","Billie Eilish",10509735,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
43,"Levitating (feat. DaBaby)","Dua Lipa",10476637,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
44,"Ginseng Strip 2002","Yung Lean",10310114,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
45,"Super Gremlin","Kodak Black",10289773,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
46,"Malvadão 3",Xamã,10219569,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
47,"Tacones Rojos","Sebastian Yatra",10210331,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
48,"drivers license","Olivia Rodrigo",10144789,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
49,Medallo,Blessd,9953772,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
50,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",9908575,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
51,DÁKITI,"Bad Bunny",9756195,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
52,Volví,Aventura,9675168,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
53,"One Right Now (with The Weeknd)","Post Malone",9465381,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
54,Dandelions,"Ruth B.",9326479,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
55,"TO THE MOON","Jnr Choi",9244860,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
56,Excuses,"AP Dhillon",9225416,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
57,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",9209181,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
58,MONEY,LISA,9120658,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
59,Lost,"Frank Ocean",9055725,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
