,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
60,"Watermelon Sugar","Harry Styles",8977985,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
61,"Todo De Ti","Rauw Alejandro",8871406,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
62,"MIDDLE OF THE NIGHT","Elley Duhé",8807740,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
63,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,8729117,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
64,"The Family Madrigal","Stephanie Beatriz",8559156,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
65,"Save Your Tears","The Weeknd",8285387,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
66,"I Hate U",SZA,8259402,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
67,"Dark Red","Steve Lacy",8194504,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
68,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",8164770,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
69,"It'll Be Okay","Shawn Mendes",8126641,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
70,High,"The Chainsmokers",8065003,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
71,"Without Me",Eminem,7977444,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
72,"Down Under (feat. Colin Hay)",Luude,7952684,https://open.spotify.com/track/53O5nAlq04RKmSBqW0SFvG
73,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",7813735,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
74,"deja vu","Olivia Rodrigo",7790213,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
75,"Volando - Remix",Mora,7734802,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
76,Nostálgico,Rvssian,7727604,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
77,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7696728,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
78,"Meet Me At Our Spot","THE ANXIETY",7693346,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
79,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",7691324,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
80,"Someone You Loved","Lewis Capaldi",7656625,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
81,505,"Arctic Monkeys",7604683,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
82,"You Right","Doja Cat",7586541,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
83,"Every Summertime",NIKI,7571981,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
84,"What Else Can I Do?","Diane Guerrero",7563549,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
85,"Another Love","Tom Odell",7539430,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
86,Formula,Labrinth,7512421,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
87,Butter,BTS,7504865,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
88,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,7480667,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
89,"Smokin Out The Window","Bruno Mars",7389747,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
90,212,Chefin,7384885,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
91,Believer,"Imagine Dragons",7383189,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
92,"All For Us - from the HBO Original Series Euphoria",Labrinth,7313075,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
93,Dynamite,BTS,7309588,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
94,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,7292158,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
95,"Don't Start Now","Dua Lipa",7215315,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
96,Freaks,"Surf Curse",7097347,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
97,"Dos Oruguitas","Sebastian Yatra",7089299,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
98,"The Real Slim Shady",Eminem,7088026,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
99,Notion,"The Rare Occasions",7065254,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
100,"Mal Feito - Ao Vivo","Hugo & Guilherme",7053389,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
101,"lovely (with Khalid)","Billie Eilish",7039896,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
102,"I AM WOMAN","Emmy Meli",6980103,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
103,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,6974979,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
104,Brividi,Mahmood,6957275,https://open.spotify.com/track/1ZMGp9MTXbtAPvcKa0U3zS
105,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,6911690,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
106,"Daddy Issues","The Neighbourhood",6890098,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
107,"Boys Don't Cry",Anitta,6788708,https://open.spotify.com/track/35COLcFjvONwVv6jkG23gI
108,Mujeriego,"Ryan Castro",6765519,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
109,Swim,"Chase Atlantic",6747312,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
110,"Out of Time","The Weeknd",6718539,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
111,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,6717738,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
112,"Mood (feat. iann dior)",24kGoldn,6660776,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
113,"Leave The Door Open","Bruno Mars",6637326,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
114,Thunder,"Gabry Ponte",6567858,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
115,"Don't Be Shy",Tiësto,6561365,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
116,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",6435155,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
117,"Is There Someone Else?","The Weeknd",6421894,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
118,Yellow,Coldplay,6412583,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
119,"Hrs and Hrs","Muni Long",6396398,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
120,"A Tu Merced","Bad Bunny",6341463,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
121,Heather,"Conan Gray",6331375,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
122,"Get Into It (Yuh)","Doja Cat",6297817,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
123,"Salimo de Noche","Tiago PZK",6287230,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
124,"Alien Blues",Vundabar,6256578,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
125,Perfect,"Ed Sheeran",6199746,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
126,"Locked out of Heaven","Bruno Mars",6161204,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
127,"Life Goes On","Oliver Tree",6154319,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
128,"AM Remix","Nio Garcia",6129826,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
129,"Counting Stars",OneRepublic,6127134,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
130,"Talking to the Moon","Bruno Mars",6097389,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
131,Peru,"Fireboy DML",6083309,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
132,Sobrio,Maluma,6069862,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
133,"LA CANCIÓN","J Balvin",6067376,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
134,positions,"Ariana Grande",6047292,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
135,"Se Le Ve","Dímelo Flow",6024477,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
136,"Rolling in the Deep",Adele,6018431,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
137,"Dance Monkey","Tones And I",6017558,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
138,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",5990451,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
139,"No Role Modelz","J. Cole",5976044,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
140,"Bloqueado - Ao Vivo","Gusttavo Lima",5969702,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
141,"The Business",Tiësto,5968589,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
142,Sky,"Playboi Carti",5949829,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
143,"Shape of You","Ed Sheeran",5948747,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
144,"No Lie","Sean Paul",5945985,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
145,"Blank Space","Taylor Swift",5907636,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
146,"The Nights",Avicii,5902010,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
147,happier,"Olivia Rodrigo",5886924,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
148,"'Till I Collapse",Eminem,5886685,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
149,"Before You Go","Lewis Capaldi",5885835,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
150,"Smells Like Teen Spirit - Remastered",Nirvana,5874227,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
151,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",5814778,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
152,"Lucid Dreams","Juice WRLD",5804057,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
153,"Waiting On A Miracle","Stephanie Beatriz",5799526,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
154,Cúrame,"Rauw Alejandro",5794460,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
155,"Ley Seca","Jhay Cortez",5793083,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
156,"family ties (with Kendrick Lamar)","Baby Keem",5787332,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
157,"Why'd You Only Call Me When You're High?","Arctic Monkeys",5783272,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
158,"Polaroid Love",ENHYPEN,5778017,https://open.spotify.com/track/5elW2CKSoqjYoJ32AGDxf1
159,"Take Me To Church",Hozier,5772147,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
160,"I WANNA BE YOUR SLAVE",Måneskin,5763180,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
161,Circles,"Post Malone",5748799,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
162,"Mr. Brightside","The Killers",5738855,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
163,Problemón,"Alvaro Diaz",5728919,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
164,Riptide,"Vance Joy",5721533,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
165,"Gangsta's Paradise",Coolio,5689865,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
166,"favorite crime","Olivia Rodrigo",5678209,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
167,2055,"Sleepy Hallow",5673676,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
168,"All of Me","John Legend",5667372,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
169,"Numb Little Bug","Em Beihold",5650205,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
170,"WA DA DA",Kep1er,5638718,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
171,"One Dance",Drake,5638522,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
172,"LA FAMA (with The Weeknd)",ROSALÍA,5625697,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
173,Payphone,"Maroon 5",5613962,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
174,"Space Song","Beach House",5607390,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
175,"you broke me first","Tate McRae",5597800,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
176,Arcade,"Duncan Laurence",5564103,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
177,"Way 2 Sexy (with Future & Young Thug)",Drake,5561001,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
178,"Say You Won't Let Go","James Arthur",5531673,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
179,"Ella - Remix",Boza,5524110,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
180,Streets,"Doja Cat",5511270,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
181,"vice city",XXXTENTACION,5507522,https://open.spotify.com/track/6MOst484piqXpzPPRRe8i5
182,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,5505879,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
183,Shallow,"Lady Gaga",5504358,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
184,"Praise God","Kanye West",5496443,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
185,"Jocelyn Flores",XXXTENTACION,5470424,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
186,Falling,"Harry Styles",5468710,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
187,Pandora,"DJ Matt D",5464169,https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r
188,RAPSTAR,"Polo G",5463979,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
189,Acapulco,"Jason Derulo",5460999,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
190,Memories,"Maroon 5",5439719,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
191,"Astronaut In The Ocean","Masked Wolf",5431436,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
192,"The Rumbling (TV Size)",SiM,5417776,https://open.spotify.com/track/0KCSJzsQVxkloxoT7dyrqV
193,"Qué Más Pues?","J Balvin",5415354,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
194,"Christmas Tree",V,5410071,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
195,"Enemy - From the series Arcane League of Legends","Imagine Dragons",5407637,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
196,"Bohemian Rhapsody - Remastered 2011",Queen,5403564,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
197,ELEVEN,IVE,5401496,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
198,Bored,"Billie Eilish",5393452,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
199,Señorita,"Shawn Mendes",5379886,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
200,"Esqueça-Me Se For Capaz","Marília Mendonça",5360793,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
