,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",30825272,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,Envolver,Anitta,30080391,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
3,"STAY (with Justin Bieber)","The Kid LAROI",24933132,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Plan A","Paulo Londra",24746212,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
5,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",22829588,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
6,"Cold Heart - PNAU Remix","Elton John",20985644,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,abcdefu,GAYLE,20279217,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",19060926,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,MAMIII,"Becky G",18289343,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
10,Desesperados,"Rauw Alejandro",17344371,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
11,Ghost,"Justin Bieber",17091238,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
12,Shivers,"Ed Sheeran",16655032,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
13,"MIDDLE OF THE NIGHT","Elley Duhé",16614479,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
14,Woman,"Doja Cat",16536723,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
15,"Una Noche en Medellín","Cris Mj",16161349,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
16,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",16041650,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
17,"Easy On Me",Adele,15914121,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
18,"THATS WHAT I WANT","Lil Nas X",14928655,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
19,"Where Are You Now","Lost Frequencies",14503805,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
20,"Bad Habits","Ed Sheeran",13801782,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
21,Pepas,Farruko,13705959,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
22,"The Motto",Tiësto,13705657,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
23,"good 4 u","Olivia Rodrigo",13628090,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
24,Boyfriend,"Dove Cameron",13498371,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
25,Infinity,"Jaymes Young",13371962,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
26,"X ÚLTIMA VEZ","Daddy Yankee",13355837,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
27,"My Universe",Coldplay,13329625,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
28,"Blinding Lights","The Weeknd",12188491,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"I Love You So","The Walters",12172531,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
30,"Another Love","Tom Odell",12118944,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
31,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,11792367,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
32,"Need to Know","Doja Cat",11583177,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
33,"Sweater Weather","The Neighbourhood",11439019,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
34,Dandelions,"Ruth B.",11207971,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
35,Yonaguni,"Bad Bunny",10851656,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
36,"Kiss Me More (feat. SZA)","Doja Cat",10825483,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
37,"Do It To It",ACRAZE,10800527,https://open.spotify.com/track/20on25jryn53hWghthWWW3
38,"Light Switch","Charlie Puth",10789111,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
39,traitor,"Olivia Rodrigo",10618171,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
40,"Something In The Way - Remastered",Nirvana,10553592,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
41,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",10544250,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
42,"Cool for the Summer","Demi Lovato",10251120,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
43,"Levitating (feat. DaBaby)","Dua Lipa",10141473,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
44,Starlight,Dave,10022366,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
45,Sigue,"J Balvin",9969072,https://open.spotify.com/track/0bBd6K5X4W7t9GyXcaVOA7
46,DANÇARINA,"PEDRO SAMPAIO",9390158,https://open.spotify.com/track/5zNxUkUW9WiV5oyg6gh2wB
47,"drivers license","Olivia Rodrigo",9250408,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
48,"sentaDONA (Remix) s2","Davi Kneip",9211193,https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
49,"Save Your Tears","The Weeknd",9199463,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
50,Softcore,"The Neighbourhood",9170644,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
51,"Sweetest Pie","Megan Thee Stallion",9065926,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
52,"MONTERO (Call Me By Your Name)","Lil Nas X",9032835,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
53,Jordan,"Ryan Castro",9024864,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
54,"Without Me",Eminem,9002421,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
55,"Fuera del mercado","Danny Ocean",8960246,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
56,505,"Arctic Monkeys",8850039,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
57,Medallo,Blessd,8819265,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
58,RUMBATÓN,"Daddy Yankee",8734887,https://open.spotify.com/track/3XjN0mvFkQp1FMVM9Ro5hm
59,Bones,"Imagine Dragons",8702666,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
60,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",8552218,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
61,"she's all i wanna be","Tate McRae",8442426,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
62,"Happier Than Ever","Billie Eilish",8382395,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
63,Pantysito,Alejo,8356120,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
64,DÁKITI,"Bad Bunny",8298669,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
65,"Tom's Diner",AnnenMayKantereit,8288971,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
66,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",8261411,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
67,"Watermelon Sugar","Harry Styles",8210299,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
68,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",8098070,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
69,"Tacones Rojos","Sebastian Yatra",8049786,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
70,"deja vu","Olivia Rodrigo",8026856,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
71,"Mount Everest",Labrinth,8011385,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
72,Beggin',Måneskin,8004981,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
73,"maybe (feat. Bring Me The Horizon)","Machine Gun Kelly",7970507,https://open.spotify.com/track/25wdC7CJmCJPgnKw9rYquJ
74,"love nwantiti (ah ah ah)",CKay,7870499,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
75,Toxic,BoyWithUke,7801809,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
76,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7759969,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
77,Butter,BTS,7716318,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
78,"Mon Amour - Remix",zzoilo,7716186,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
79,Yellow,Coldplay,7697562,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
80,"The Real Slim Shady",Eminem,7685181,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
81,"One Right Now (with The Weeknd)","Post Malone",7617736,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
82,Lost,"Frank Ocean",7613122,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
83,chaotic,"Tate McRae",7491085,https://open.spotify.com/track/2bdqU7C4softKNcMYDFi96
84,"Wait a Minute!",WILLOW,7484984,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
85,MANIAC,"Stray Kids",7454017,https://open.spotify.com/track/7BDHDiidJ8WV349p3HTxTV
86,Believer,"Imagine Dragons",7447423,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
87,"Numb Little Bug","Em Beihold",7377851,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
88,"Oh My God",Adele,7342994,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
89,"Don't Start Now","Dua Lipa",7335134,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
90,"A Tu Merced","Bad Bunny",7322829,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
91,"make up sex (feat. blackbear)","Machine Gun Kelly",7289760,https://open.spotify.com/track/50eJOxJiGmJ7PBZaTKpje1
92,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7267590,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
93,Chale,"Eden Muñoz",7238892,https://open.spotify.com/track/74WROFXsox6wkeUrEK2DS6
94,"Dark Red","Steve Lacy",7233300,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
95,Notion,"The Rare Occasions",7224081,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
96,Volví,Aventura,7198043,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
97,"Soy El Unico","Yahritza Y Su Esencia",7194181,https://open.spotify.com/track/6HJIZUOiZDE814XMhRGSZN
98,"LA FAMA (with The Weeknd)",ROSALÍA,7151325,https://open.spotify.com/track/6Y46tOTRhkBamosyuWa6YX
99,"Todo De Ti","Rauw Alejandro",7137613,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
100,"Demasiadas Mujeres","C. Tangana",7136308,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
101,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",7132024,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
102,"Hati-Hati di Jalan",Tulus,7109824,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
103,"lovely (with Khalid)","Billie Eilish",7095367,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
104,CANDY,ROSALÍA,7073008,https://open.spotify.com/track/70AYiGbc4mWZGEqiipBBDb
105,"La Santa","Bad Bunny",7063553,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
106,"Fingers Crossed","Lauren Spencer-Smith",7046370,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
107,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,7044294,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
108,"Someone You Loved","Lewis Capaldi",6976528,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
109,"TO THE MOON","Jnr Choi",6969214,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
110,"Still D.R.E.","Dr. Dre",6966005,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
111,Dynamite,BTS,6939458,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
112,"No Role Modelz","J. Cole",6879000,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
113,"You Right","Doja Cat",6875398,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
114,"Feel My Rhythm","Red Velvet",6841560,https://open.spotify.com/track/2oBMZYteeO8DyXV9gDx6Za
115,"Just A Cloud Away","Pharrell Williams",6837424,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4
116,"Super Gremlin","Kodak Black",6834241,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
117,"pushin P (feat. Young Thug)",Gunna,6773062,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
118,MONEY,LISA,6748017,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
119,"IDGAF (with blackbear)",BoyWithUke,6743797,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR
120,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,6729473,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
121,Unstoppable,Sia,6727054,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
122,"Smells Like Teen Spirit - Remastered",Nirvana,6715402,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
123,Revenge,XXXTENTACION,6687459,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
124,"Nobody Like U","4*TOWN (From Disney and Pixar’s Turning Red)",6583973,https://open.spotify.com/track/4bV5sf2B4hWBBd5HQ8S7KB
125,"Counting Stars",OneRepublic,6514373,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
126,"Malvadão 3",Xamã,6478542,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
127,Freaks,"Surf Curse",6433044,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
128,SAOKO,ROSALÍA,6414303,https://open.spotify.com/track/2FYGZDfsAnNsrm1gVbyKnG
129,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,6410175,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
130,"Shape of You","Ed Sheeran",6338231,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
131,"Daddy Issues","The Neighbourhood",6325167,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
132,"ARASAN DA",UZI,6284428,https://open.spotify.com/track/72jYQj3RgTR1DFLfibD71B
133,"Locked out of Heaven","Bruno Mars",6279101,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
134,"Blank Space","Taylor Swift",6277525,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
135,"LA CANCIÓN","J Balvin",6249572,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
136,Payphone,"Maroon 5",6231126,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
137,Mujeriego,"Ryan Castro",6203220,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
138,"Volando - Remix",Mora,6167651,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
139,"'Till I Collapse",Eminem,6152890,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
140,Riptide,"Vance Joy",6078277,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
141,"The Nights",Avicii,6077262,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
142,"All For Us",Labrinth,6062083,https://open.spotify.com/track/76YSWx6L6FNsuaP6GWBb8P
143,"Gangsta's Paradise",Coolio,6046209,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
144,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,6039815,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
145,"Bohemian Rhapsody - Remastered 2011",Queen,6026601,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
146,DARARI,TREASURE,6013795,https://open.spotify.com/track/0dcnrLo8s1rhjm8euGjI4n
147,Formula,Labrinth,5994464,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
148,"Ya No Somos Ni Seremos","Christian Nodal",5987798,https://open.spotify.com/track/0UXlu64mDLvfzR8IXMz06J
149,Perfect,"Ed Sheeran",5986934,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
150,happier,"Olivia Rodrigo",5970856,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
151,"Don't Be Shy",Tiësto,5920621,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
152,"Something Just Like This","The Chainsmokers",5907214,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
153,"One Dance",Drake,5904750,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
154,"Nail Tech","Jack Harlow",5892719,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
155,"Mood (feat. iann dior)",24kGoldn,5887792,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
156,"Mal Feito - Ao Vivo","Hugo & Guilherme",5865927,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
157,"No Lie","Sean Paul",5858483,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
158,Malvada,"Zé Felipe",5855026,https://open.spotify.com/track/7gVzhRCrLRUBEGdS7zNTp0
159,"Down Under (feat. Colin Hay)",Luude,5848164,https://open.spotify.com/track/3Oww84xrmgjyr5J1ilOmAf
160,"Get Into It (Yuh)","Doja Cat",5839340,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
161,Circles,"Post Malone",5800451,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
162,"Take Me To Church",Hozier,5788242,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
163,Heather,"Conan Gray",5784817,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
164,Everlong,"Foo Fighters",5764832,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk
165,"Mr. Brightside","The Killers",5747244,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
166,REMIX,"Daddy Yankee",5734983,https://open.spotify.com/track/65MqlYPOWReasKWcuCaOCW
167,"In Da Club","50 Cent",5703777,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
168,"I’m Tired (with Zendaya) - Bonus Track",Labrinth,5693766,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
169,"Wake Me Up",Avicii,5690186,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
170,"Dance Monkey","Tones And I",5687463,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
171,Hope,XXXTENTACION,5682183,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
172,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",5670042,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
173,"Ain't Shit","Doja Cat",5656909,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
