,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
61,"Oh My God",Adele,8632030,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
62,"Super Gremlin","Kodak Black",8629894,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
63,"Ya No Somos Ni Seremos","Christian Nodal",8596437,https://open.spotify.com/track/0UXlu64mDLvfzR8IXMz06J
64,"The Real Slim Shady",Eminem,8574427,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
65,"Save Your Tears","The Weeknd",8547703,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
66,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,8525287,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
67,"Todo De Ti","Rauw Alejandro",8493246,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
68,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",8477348,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
69,Formula,Labrinth,8438788,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
70,505,"Arctic Monkeys",8347891,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
71,"Another Love","Tom Odell",8275324,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
72,Notion,"The Rare Occasions",8272860,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
73,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",8177376,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
74,"Watermelon Sugar","Harry Styles",8170864,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
75,Volví,Aventura,8143878,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
76,"A Tu Merced","Bad Bunny",8100719,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
77,"Stay Alive (Prod. SUGA of BTS)","Jung Kook",8066708,https://open.spotify.com/track/7CAdT0HdiQNlt1C7xk2hep
78,"One Right Now (with The Weeknd)","Post Malone",8026738,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
79,"Dark Red","Steve Lacy",7927860,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
80,Sacrifice,"The Weeknd",7783429,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
81,"Fingers Crossed","Lauren Spencer-Smith",7756961,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
82,"I’m Tired (with Zendaya) - Bonus Track",Labrinth,7704039,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
83,"Freaky Deaky",Tyga,7692576,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw
84,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7681251,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
85,"Ginseng Strip 2002","Yung Lean",7476607,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
86,"Numb Little Bug","Em Beihold",7465276,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
87,"deja vu","Olivia Rodrigo",7434205,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
88,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7424755,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
89,Believer,"Imagine Dragons",7419012,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
90,"Don't Start Now","Dua Lipa",7376286,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
91,MONEY,LISA,7340278,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
92,"Down Under (feat. Colin Hay)",Luude,7275161,https://open.spotify.com/track/3Oww84xrmgjyr5J1ilOmAf
93,"Someone You Loved","Lewis Capaldi",7256027,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
94,Mujeriego,"Ryan Castro",7207840,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
95,"Una Noche en Medellín","Cris Mj",7120158,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
96,Butter,BTS,7117984,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
97,Nostálgico,Rvssian,7078556,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
98,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",7077726,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
99,"Volando - Remix",Mora,6985394,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
100,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",6971997,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
101,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,6967027,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
102,"Mal Feito - Ao Vivo","Hugo & Guilherme",6962386,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
103,Dynamite,BTS,6958616,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
104,"lovely (with Khalid)","Billie Eilish",6954765,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
105,"Botadinha Saliente","MC Rogerinho",6882424,https://open.spotify.com/track/0qYW2jULeN9giEty0ee9Fy
106,Excuses,"AP Dhillon",6870065,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
107,Freaks,"Surf Curse",6864597,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
108,"'Till I Collapse",Eminem,6845396,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
109,"In Da Club","50 Cent",6708461,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
110,"Bloqueado - Ao Vivo","Gusttavo Lima",6701192,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
111,"You Right","Doja Cat",6649846,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
112,212,Chefin,6562239,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
113,"No Role Modelz","J. Cole",6516602,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
114,"Daddy Issues","The Neighbourhood",6506165,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
115,Unstoppable,Sia,6490722,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
116,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,6439814,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
117,Yellow,Coldplay,6426864,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
118,"Counting Stars",OneRepublic,6424132,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
119,"The Family Madrigal","Stephanie Beatriz",6323934,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
120,"Leave The Door Open","Bruno Mars",6298301,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
121,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,6292088,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
122,"La Zona","Bad Bunny",6287517,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
123,"Se Le Ve","Dímelo Flow",6271154,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
124,"Don't Be Shy",Tiësto,6263186,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
125,"Gangsta's Paradise",Coolio,6261912,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
126,"I Hate U",SZA,6260786,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
127,"Mood (feat. iann dior)",24kGoldn,6249394,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
128,Swim,"Chase Atlantic",6207221,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
129,Depende,"Dj Guuga",6194305,https://open.spotify.com/track/1M5OUvKG03C0QtzvxRS4Zk
130,"LA CANCIÓN","J Balvin",6174465,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
131,"La Santa","Bad Bunny",6146326,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
132,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",6144838,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
133,"Locked out of Heaven","Bruno Mars",6114137,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
134,Problemón,"Alvaro Diaz",6092014,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
135,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,6075651,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
136,Heather,"Conan Gray",6069266,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
137,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",6053814,https://open.spotify.com/track/2wSCalnGOnXdAJC0Fn8OUY
138,Perfect,"Ed Sheeran",6047737,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
139,"Blank Space","Taylor Swift",6004114,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
140,Thunder,"Gabry Ponte",5995259,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
141,"No Lie","Sean Paul",5964722,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
142,Riptide,"Vance Joy",5942928,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
143,"Shape of You","Ed Sheeran",5907896,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
144,"The Nights",Avicii,5864114,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
145,Payphone,"Maroon 5",5820509,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
146,"Every Summertime",NIKI,5817314,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
147,"Get Into It (Yuh)","Doja Cat",5816726,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
148,"Dance Monkey","Tones And I",5810959,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
149,"Bohemian Rhapsody - Remastered 2011",Queen,5796966,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
150,"Meet Me At Our Spot","THE ANXIETY",5792542,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
151,"Smells Like Teen Spirit - Remastered",Nirvana,5761404,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
152,"Polaroid Love",ENHYPEN,5748452,https://open.spotify.com/track/5elW2CKSoqjYoJ32AGDxf1
153,Forever,Labrinth,5737411,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
154,Circles,"Post Malone",5729678,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
155,"Still Don't Know My Name",Labrinth,5727190,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
156,positions,"Ariana Grande",5721526,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
157,"One Dance",Drake,5719169,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
158,"Take Me To Church",Hozier,5718347,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
159,happier,"Olivia Rodrigo",5704690,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
160,"Why'd You Only Call Me When You're High?","Arctic Monkeys",5691502,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
161,DARARI,TREASURE,5656787,https://open.spotify.com/track/0dcnrLo8s1rhjm8euGjI4n
162,"Rolling in the Deep",Adele,5653008,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
163,Stan,Eminem,5645301,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
164,"City of Gods","Fivio Foreign",5642404,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
165,"Toma Toma Vapo Vapo","Zé Felipe",5642282,https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
166,"Lucid Dreams","Juice WRLD",5634766,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
167,"Godzilla (feat. Juice WRLD)",Eminem,5617866,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
168,"Talking to the Moon","Bruno Mars",5615604,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
169,Sobrio,Maluma,5611782,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
170,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,5594609,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
171,"Mr. Brightside","The Killers",5579036,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
172,"The Business",Tiësto,5566021,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
173,Jordan,"Ryan Castro",5564896,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
174,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",5564081,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
175,"Before You Go","Lewis Capaldi",5561381,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
176,Cigarettes,"Juice WRLD",5536166,https://open.spotify.com/track/1kBMIYqe0ILRUJZ7K2PV0k
177,"favorite crime","Olivia Rodrigo",5534382,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
178,"Space Song","Beach House",5503009,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
179,"Hrs and Hrs","Muni Long",5500093,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
180,"Praise God","Kanye West",5496201,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
181,"When I R.I.P.",Labrinth,5486251,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
182,"All of Me","John Legend",5482063,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
183,"Parada Louca","Mari Fernandez",5441359,https://open.spotify.com/track/72g37RoelSnovZakG5MwnF
184,"Say You Won't Let Go","James Arthur",5437773,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
185,"Ley Seca","Jhay Cortez",5416215,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
186,"Molhando o Volante","Jorge & Mateus",5408946,https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P
187,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",5383001,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
188,Señorita,"Shawn Mendes",5378675,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
189,"The Next Episode","Dr. Dre",5378428,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
190,"Do I Wanna Know?","Arctic Monkeys",5362890,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
191,"It'll Be Okay","Shawn Mendes",5350728,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
192,2055,"Sleepy Hallow",5316926,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
193,"NEW MAGIC WAND","Tyler, The Creator",5313165,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
194,"AM Remix","Nio Garcia",5308975,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
195,Brividi,Mahmood,5298819,https://open.spotify.com/track/1ZMGp9MTXbtAPvcKa0U3zS
196,"Wake Me Up",Avicii,5298217,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
197,Arcade,"Duncan Laurence",5286384,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
198,Closer,"The Chainsmokers",5286333,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
199,"LA FAMA (with The Weeknd)",ROSALÍA,5283782,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
200,"family ties (with Kendrick Lamar)","Baby Keem",5282595,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
