,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",29988328,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",25532233,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",24658352,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
4,abcdefu,GAYLE,23875124,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5,MAMIII,"Becky G",21991829,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
6,"Cold Heart - PNAU Remix","Elton John",21892201,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",20313372,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,Desesperados,"Rauw Alejandro",19026134,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
9,"Easy On Me",Adele,18301254,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
10,Shivers,"Ed Sheeran",17105237,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,Infinity,"Jaymes Young",16001215,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
12,Ghost,"Justin Bieber",15944544,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"THATS WHAT I WANT","Lil Nas X",15652363,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
14,Pepas,Farruko,15402544,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
15,Woman,"Doja Cat",15369896,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,Boyfriend,"Dove Cameron",15329234,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
17,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",15320841,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
18,"Bad Habits","Ed Sheeran",14021937,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
19,"Where Are You Now","Lost Frequencies",13815171,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
20,"MIDDLE OF THE NIGHT","Elley Duhé",13214859,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
21,"My Universe",Coldplay,13213855,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
22,"I Love You So","The Walters",13156766,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
23,"Do It To It",ACRAZE,13084539,https://open.spotify.com/track/20on25jryn53hWghthWWW3
24,"good 4 u","Olivia Rodrigo",13030068,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
25,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,13007779,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
26,"The Motto",Tiësto,12616457,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
27,Yonaguni,"Bad Bunny",12465863,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
28,"Blinding Lights","The Weeknd",11828700,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"Sweater Weather","The Neighbourhood",11410065,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
30,"pushin P (feat. Young Thug)",Gunna,11331408,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
31,"Need to Know","Doja Cat",11183807,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
32,DANÇARINA,"PEDRO SAMPAIO",11110929,https://open.spotify.com/track/5zNxUkUW9WiV5oyg6gh2wB
33,"Light Switch","Charlie Puth",11047320,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
34,"Kiss Me More (feat. SZA)","Doja Cat",10728489,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
35,Softcore,"The Neighbourhood",10720979,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
36,"Mon Amour - Remix",zzoilo,10715781,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
37,Dandelions,"Ruth B.",10586733,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
38,"she's all i wanna be","Tate McRae",10584610,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
39,traitor,"Olivia Rodrigo",10575688,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
40,"Without Me",Eminem,10370773,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
41,"Levitating (feat. DaBaby)","Dua Lipa",10176424,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
42,Toxic,BoyWithUke,10086703,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
43,"All For Us",Labrinth,10006586,https://open.spotify.com/track/76YSWx6L6FNsuaP6GWBb8P
44,"Mount Everest",Labrinth,9997563,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
45,"Tacones Rojos","Sebastian Yatra",9925100,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
46,"MONTERO (Call Me By Your Name)","Lil Nas X",9862277,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
47,"Nail Tech","Jack Harlow",9750079,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
48,Medallo,Blessd,9577066,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
49,DÁKITI,"Bad Bunny",9552174,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
50,Lost,"Frank Ocean",9544641,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
51,"Malvadão 3",Xamã,9507646,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
52,"Still D.R.E.","Dr. Dre",9479802,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
53,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",8974908,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
54,"drivers license","Olivia Rodrigo",8969405,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
55,"Happier Than Ever","Billie Eilish",8896070,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
56,"love nwantiti (ah ah ah)",CKay,8861833,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
57,"TO THE MOON","Jnr Choi",8720976,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
58,Malvada,"Zé Felipe",8678934,https://open.spotify.com/track/7gVzhRCrLRUBEGdS7zNTp0
59,Beggin',Måneskin,8661130,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
60,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",8641691,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
