,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",30343041,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",24770929,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",23593803,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
4,abcdefu,GAYLE,21758708,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5,"Cold Heart - PNAU Remix","Elton John",20919433,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,MAMIII,"Becky G",20053050,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",19310609,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,Desesperados,"Rauw Alejandro",17791540,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
9,"Easy On Me",Adele,16938554,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
10,Shivers,"Ed Sheeran",16486516,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,Ghost,"Justin Bieber",16285907,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
12,Woman,"Doja Cat",15689572,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
13,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",15595099,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
14,"MIDDLE OF THE NIGHT","Elley Duhé",15314483,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
15,Boyfriend,"Dove Cameron",15313170,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
16,"THATS WHAT I WANT","Lil Nas X",14919543,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
17,"Sweetest Pie","Megan Thee Stallion",14634331,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
18,Infinity,"Jaymes Young",14606484,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
19,"Something In The Way - Remastered",Nirvana,14195493,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
20,Pepas,Farruko,13952668,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
21,"Bad Habits","Ed Sheeran",13904840,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
22,"Where Are You Now","Lost Frequencies",13701512,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
23,"I Love You So","The Walters",13033032,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
24,"good 4 u","Olivia Rodrigo",13018349,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
25,"Una Noche en Medellín","Cris Mj",12997114,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
26,"The Motto",Tiësto,12941017,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
27,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,12502364,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
28,Envolver,Anitta,12343449,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
29,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",12297721,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
30,"My Universe",Coldplay,12289439,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
31,"Blinding Lights","The Weeknd",12141497,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
32,"Do It To It",ACRAZE,12101553,https://open.spotify.com/track/20on25jryn53hWghthWWW3
33,Yonaguni,"Bad Bunny",11891210,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
34,"Sweater Weather","The Neighbourhood",11542539,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,"Need to Know","Doja Cat",11268697,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
36,Dandelions,"Ruth B.",11175628,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
37,"Another Love","Tom Odell",10856115,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
38,"Kiss Me More (feat. SZA)","Doja Cat",10834052,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
39,"Light Switch","Charlie Puth",10656031,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
40,traitor,"Olivia Rodrigo",10516736,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
41,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",10384507,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
