,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",30702064,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",26178156,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",25356579,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
4,abcdefu,GAYLE,25078024,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5,MAMIII,"Becky G",23135757,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
6,"Cold Heart - PNAU Remix","Elton John",22740664,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",21191885,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,"Easy On Me",Adele,19736755,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
9,Desesperados,"Rauw Alejandro",19550632,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
10,Shivers,"Ed Sheeran",17917602,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",17479525,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
12,Infinity,"Jaymes Young",16626254,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
13,Ghost,"Justin Bieber",16389095,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
14,"THATS WHAT I WANT","Lil Nas X",16298290,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
15,Boyfriend,"Dove Cameron",15950418,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
16,Pepas,Farruko,15516069,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
17,Woman,"Doja Cat",15092330,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
18,"Bad Habits","Ed Sheeran",14529504,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
19,"My Universe",Coldplay,13910617,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
20,"Where Are You Now","Lost Frequencies",13833820,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
