,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",67265741,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",50438229,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
3,"Heat Waves","Glass Animals",29307788,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"STAY (with Justin Bieber)","The Kid LAROI",23354880,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",21330285,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
6,Envolver,Anitta,20197006,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
7,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",19880318,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",19597143,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,"Cold Heart - PNAU Remix","Elton John",19484288,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
10,abcdefu,GAYLE,17829865,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
11,"Una Noche en Medellín","Cris Mj",17798164,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
12,MAMIII,"Becky G",16698428,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
13,Ghost,"Justin Bieber",16595476,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
14,"MIDDLE OF THE NIGHT","Elley Duhé",16461829,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
15,Desesperados,"Rauw Alejandro",16373173,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
16,"Plan A","Paulo Londra",16170790,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
17,Woman,"Doja Cat",16023747,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
18,Shivers,"Ed Sheeran",15782353,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
19,"good 4 u","Olivia Rodrigo",15047921,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,"Easy On Me",Adele,14822740,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
