,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",30608086,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",24617373,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,Envolver,Anitta,24206785,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",22999469,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
5,abcdefu,GAYLE,21267984,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
6,"Cold Heart - PNAU Remix","Elton John",20962464,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,MAMIII,"Becky G",19274401,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",19234900,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,Desesperados,"Rauw Alejandro",17613574,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
10,Shivers,"Ed Sheeran",16654920,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,Woman,"Doja Cat",16398709,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,"Easy On Me",Adele,16381883,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
13,Ghost,"Justin Bieber",16330515,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
14,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",16240858,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
15,"MIDDLE OF THE NIGHT","Elley Duhé",15959904,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
16,"Una Noche en Medellín","Cris Mj",15021307,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
17,"THATS WHAT I WANT","Lil Nas X",14940932,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
18,"Where Are You Now","Lost Frequencies",14229215,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
19,Boyfriend,"Dove Cameron",14123205,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
20,"Bad Habits","Ed Sheeran",14087386,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
21,Infinity,"Jaymes Young",14048595,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
22,Pepas,Farruko,13941444,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
23,"The Motto",Tiësto,13387144,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
24,"good 4 u","Olivia Rodrigo",12919521,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
25,"My Universe",Coldplay,12740129,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
26,"I Love You So","The Walters",12515252,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
27,"Blinding Lights","The Weeknd",12442495,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,12201967,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
29,"Sweetest Pie","Megan Thee Stallion",12165124,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
30,"Something In The Way - Remastered",Nirvana,12069810,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
31,"Another Love","Tom Odell",12059266,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
32,"Do It To It",ACRAZE,11534330,https://open.spotify.com/track/20on25jryn53hWghthWWW3
33,"Sweater Weather","The Neighbourhood",11464307,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
34,Yonaguni,"Bad Bunny",11457150,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
