,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
35,"Need to Know","Doja Cat",11390421,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
36,Dandelions,"Ruth B.",11176888,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
37,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",11145729,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
38,"Kiss Me More (feat. SZA)","Doja Cat",10912680,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
39,MANIAC,"Stray Kids",10707681,https://open.spotify.com/track/7BDHDiidJ8WV349p3HTxTV
40,"Light Switch","Charlie Puth",10666668,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
41,"Levitating (feat. DaBaby)","Dua Lipa",10338201,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
42,traitor,"Olivia Rodrigo",10240935,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
43,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",9951736,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
44,CANDY,ROSALÍA,9850251,https://open.spotify.com/track/70AYiGbc4mWZGEqiipBBDb
45,Starlight,Dave,9761064,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
46,Softcore,"The Neighbourhood",9689516,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
47,"MONTERO (Call Me By Your Name)","Lil Nas X",9506648,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
48,DANÇARINA,"PEDRO SAMPAIO",9492756,https://open.spotify.com/track/5zNxUkUW9WiV5oyg6gh2wB
49,"Without Me",Eminem,9490866,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
50,Medallo,Blessd,9450668,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
51,Butter,BTS,9194245,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
52,"Mount Everest",Labrinth,9022052,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
53,Jordan,"Ryan Castro",9009504,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
54,"Save Your Tears","The Weeknd",8896400,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
55,"drivers license","Olivia Rodrigo",8822959,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
56,"LA FAMA (with The Weeknd)",ROSALÍA,8791335,https://open.spotify.com/track/6Y46tOTRhkBamosyuWa6YX
57,505,"Arctic Monkeys",8770049,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
58,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",8717873,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
59,DÁKITI,"Bad Bunny",8673494,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
60,"Tacones Rojos","Sebastian Yatra",8525244,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
61,"Cool for the Summer","Demi Lovato",8514867,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
62,"Mon Amour - Remix",zzoilo,8454971,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
63,Bones,"Imagine Dragons",8405516,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
64,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",8367349,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
65,"ARASAN DA",UZI,8344402,https://open.spotify.com/track/72jYQj3RgTR1DFLfibD71B
66,"Happier Than Ever","Billie Eilish",8296388,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
67,"she's all i wanna be","Tate McRae",8268341,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
68,"pushin P (feat. Young Thug)",Gunna,8208012,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
69,Beggin',Måneskin,8195817,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
70,Toxic,BoyWithUke,8152894,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
71,"love nwantiti (ah ah ah)",CKay,8137695,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
72,"maybe (feat. Bring Me The Horizon)","Machine Gun Kelly",8109801,https://open.spotify.com/track/1Al4Z4K76RCKj31mExavs7
73,"Watermelon Sugar","Harry Styles",8050918,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
74,"IDGAF (with blackbear)",BoyWithUke,8036220,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR
75,Chale,"Eden Muñoz",7907929,https://open.spotify.com/track/74WROFXsox6wkeUrEK2DS6
76,Lost,"Frank Ocean",7903622,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
77,Sometimes,"Juice WRLD",7902249,https://open.spotify.com/track/3i6sCTU7ENlnHpHvrHUitW
78,"Hati-Hati di Jalan",Tulus,7883476,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
79,"Numb Little Bug","Em Beihold",7822207,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
80,"The Real Slim Shady",Eminem,7804681,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
81,"A Tu Merced","Bad Bunny",7754130,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
82,SAOKO,ROSALÍA,7693786,https://open.spotify.com/track/2FYGZDfsAnNsrm1gVbyKnG
83,Volví,Aventura,7693051,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
84,"One Right Now (with The Weeknd)","Post Malone",7643201,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
85,"Don't Start Now","Dua Lipa",7641941,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
86,"deja vu","Olivia Rodrigo",7634797,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
87,"Todo De Ti","Rauw Alejandro",7629609,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
88,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7602994,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
89,"Oh My God",Adele,7587904,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
90,"Tom's Diner",AnnenMayKantereit,7565740,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
91,"Super Gremlin","Kodak Black",7491163,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
92,Believer,"Imagine Dragons",7489774,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
93,"Fingers Crossed","Lauren Spencer-Smith",7474330,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
94,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7452764,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
95,Notion,"The Rare Occasions",7436797,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
96,"Dark Red","Steve Lacy",7431088,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
97,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",7422475,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
98,"TO THE MOON","Jnr Choi",7411890,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
99,Pantysito,Alejo,7388473,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
100,Dynamite,BTS,7333136,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
101,"Still D.R.E.","Dr. Dre",7272174,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
102,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,7216007,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
103,"lovely (with Khalid)","Billie Eilish",7080454,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
104,"All For Us",Labrinth,7055479,https://open.spotify.com/track/76YSWx6L6FNsuaP6GWBb8P
105,"I’m Tired (with Zendaya) - Bonus Track",Labrinth,7036868,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
106,"Plan A","Paulo Londra",7010427,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
107,"Someone You Loved","Lewis Capaldi",7004132,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
108,MONEY,LISA,6978934,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
109,"You Right","Doja Cat",6891106,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
110,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,6848267,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
111,Yellow,Coldplay,6825559,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
112,"La Santa","Bad Bunny",6746362,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
113,"Nail Tech","Jack Harlow",6736471,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
114,"Malvadão 3",Xamã,6720768,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
115,"No Role Modelz","J. Cole",6669795,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
116,Revenge,XXXTENTACION,6644862,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
117,Formula,Labrinth,6636325,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
118,DARARI,TREASURE,6596065,https://open.spotify.com/track/0dcnrLo8s1rhjm8euGjI4n
119,Freaks,"Surf Curse",6559548,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
120,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,6555059,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
121,Mujeriego,"Ryan Castro",6549059,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
122,"Fuera del mercado","Danny Ocean",6542171,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
123,"sentaDONA (Remix) s2","Davi Kneip",6529230,https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
124,"Ya No Somos Ni Seremos","Christian Nodal",6524667,https://open.spotify.com/track/0UXlu64mDLvfzR8IXMz06J
125,"Volando - Remix",Mora,6521319,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
126,"Counting Stars",OneRepublic,6507005,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
127,"Demasiadas Mujeres","C. Tangana",6505959,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
128,"Smells Like Teen Spirit - Remastered",Nirvana,6482214,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
129,Unstoppable,Sia,6481133,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
130,"Blank Space","Taylor Swift",6363297,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
131,"Down Under (feat. Colin Hay)",Luude,6350658,https://open.spotify.com/track/3Oww84xrmgjyr5J1ilOmAf
132,"Daddy Issues","The Neighbourhood",6348178,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
133,"Locked out of Heaven","Bruno Mars",6323046,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
134,"'Till I Collapse",Eminem,6306274,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
135,Sacrifice,"The Weeknd",6301944,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
136,Payphone,"Maroon 5",6295167,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
137,"LA CANCIÓN","J Balvin",6245195,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
138,"Wait a Minute!",WILLOW,6210345,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
139,"Thinking with My Dick (feat. Juicy J)","Kevin Gates",6179721,https://open.spotify.com/track/1ojBtNRMzjL7ptLPZCzfRz
140,"Shape of You","Ed Sheeran",6177986,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
141,"The Nights",Avicii,6172484,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
142,"Gangsta's Paradise",Coolio,6157774,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
143,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",6145756,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
144,Riptide,"Vance Joy",6124083,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
145,"Get Into It (Yuh)","Doja Cat",6121721,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
146,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,6094036,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
147,"Bohemian Rhapsody - Remastered 2011",Queen,6080785,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
148,"No Lie","Sean Paul",6079770,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
149,Malvada,"Zé Felipe",6062561,https://open.spotify.com/track/7gVzhRCrLRUBEGdS7zNTp0
150,"Don't Be Shy",Tiësto,6011202,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
151,Perfect,"Ed Sheeran",5960603,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
152,"CHICKEN TERIYAKI",ROSALÍA,5951779,https://open.spotify.com/track/6hH6QJ9ZAO0Z6m7PfvLoXW
153,"One Dance",Drake,5949676,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
154,Nostálgico,Rvssian,5935431,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
155,"Mood (feat. iann dior)",24kGoldn,5927069,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
156,"Mr. Brightside","The Killers",5910155,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
157,"Nobody Like U","4*TOWN (From Disney and Pixar’s Turning Red)",5886142,https://open.spotify.com/track/4bV5sf2B4hWBBd5HQ8S7KB
158,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",5855597,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
159,Circles,"Post Malone",5844952,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
160,"La Zona","Bad Bunny",5839476,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
161,"Take Me To Church",Hozier,5830866,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
162,Heather,"Conan Gray",5823437,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
163,"In Da Club","50 Cent",5820254,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
164,"Mal Feito - Ao Vivo","Hugo & Guilherme",5792217,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
165,"Just a Cloud Away","Pharrell Williams",5753149,https://open.spotify.com/track/4UPQiDmYScn2C6S2C2WATY
166,"this is what falling in love feels like",JVKE,5734420,https://open.spotify.com/track/4UG2Fm0E98LhE2dlNxiAXx
167,"Dance Monkey","Tones And I",5729936,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
168,happier,"Olivia Rodrigo",5689979,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
169,Hope,XXXTENTACION,5672519,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
170,"Se Le Ve","Dímelo Flow",5660279,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
171,"Meet Me At Our Spot","THE ANXIETY",5655010,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
172,"Wake Me Up",Avicii,5654422,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
173,"Residente: Bzrp Music Sessions, Vol. 49",Bizarrap,5623782,https://open.spotify.com/track/2dG9k8jtnkjzJjUToz9i9i
174,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,5620029,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
175,"Freaky Deaky",Tyga,5619262,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw
176,Excuses,"AP Dhillon",5615802,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
177,"Why'd You Only Call Me When You're High?","Arctic Monkeys",5611840,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
178,"Lucid Dreams","Juice WRLD",5603274,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
179,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,5599037,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
180,BIZCOCHITO,ROSALÍA,5590076,https://open.spotify.com/track/4kXxEhuatrvwrTQycA7s9B
181,"Godzilla (feat. Juice WRLD)",Eminem,5561513,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
182,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",5551041,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
183,positions,"Ariana Grande",5537393,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
184,"Monëy so big",Yeat,5532744,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
185,"Talking to the Moon","Bruno Mars",5517986,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
186,HENTAI,ROSALÍA,5494947,https://open.spotify.com/track/4kroNlz8BTfswE4M0i3YCh
187,"Ain't Shit","Doja Cat",5492722,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
188,"Leave The Door Open","Bruno Mars",5487002,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
189,TOMBOY,(G)I-DLE,5484302,https://open.spotify.com/track/0IGUXY4JbK18bu9oD4mPIm
190,"Something Just Like This","The Chainsmokers",5480464,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
191,Thunder,"Gabry Ponte",5471529,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
192,Levitating,"Dua Lipa",5463657,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
193,"Do I Wanna Know?","Arctic Monkeys",5462608,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
194,"ABALO EMOCIONAL - Ao Vivo","Luan Santana",5404725,https://open.spotify.com/track/53RxHysDJ0cjugMcPymwja
195,Señorita,"Shawn Mendes",5376584,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
196,Stan,Eminem,5360691,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
197,"Before You Go","Lewis Capaldi",5337737,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
198,"Space Song","Beach House",5334102,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
199,"Say You Won't Let Go","James Arthur",5331623,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
200,Streets,"Doja Cat",5315395,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
