,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",31668100,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,abcdefu,GAYLE,28216065,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"STAY (with Justin Bieber)","The Kid LAROI",27908239,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",26745557,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
5,"Cold Heart - PNAU Remix","Elton John",24655316,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",23241733,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Easy On Me",Adele,22633296,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",21589113,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,Brividi,Mahmood,20079927,https://open.spotify.com/track/1ZMGp9MTXbtAPvcKa0U3zS
10,Shivers,"Ed Sheeran",19192108,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,Desesperados,"Rauw Alejandro",19067860,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
12,Infinity,"Jaymes Young",17488245,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
13,"THATS WHAT I WANT","Lil Nas X",17187223,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
14,Pepas,Farruko,16435977,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
15,Woman,"Doja Cat",16358156,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,"pushin P (feat. Young Thug)",Gunna,15838124,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
17,"Bad Habits","Ed Sheeran",15666423,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
18,"Do It To It",ACRAZE,15571783,https://open.spotify.com/track/20on25jryn53hWghthWWW3
19,Ghost,"Justin Bieber",15305656,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
20,"My Universe",Coldplay,14799916,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
21,"I Love You So","The Walters",14526745,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
22,"good 4 u","Olivia Rodrigo",14204165,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
23,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,13994116,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
24,"Where Are You Now","Lost Frequencies",13861157,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
25,"Light Switch","Charlie Puth",13490189,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
26,Yonaguni,"Bad Bunny",13421834,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
27,Cigarettes,"Juice WRLD",13042876,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
28,"The Motto",Tiësto,12559023,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
29,"Kiss Me More (feat. SZA)","Doja Cat",12521774,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
30,"Need to Know","Doja Cat",12392793,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
31,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",12319818,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
32,"Blinding Lights","The Weeknd",12213881,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,Toxic,BoyWithUke,12139803,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
34,"Sweater Weather","The Neighbourhood",11775476,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,Sacrifice,"The Weeknd",11612734,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
36,"Fingers Crossed","Lauren Spencer-Smith",11493081,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
37,"Mon Amour - Remix",zzoilo,11257695,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
38,traitor,"Olivia Rodrigo",11188023,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
39,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",11107141,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
40,"Oh My God",Adele,11105085,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
41,"MONTERO (Call Me By Your Name)","Lil Nas X",11051590,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
42,Softcore,"The Neighbourhood",11027870,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
43,"she's all i wanna be","Tate McRae",11010991,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
44,"love nwantiti (ah ah ah)",CKay,10904385,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
45,"Ginseng Strip 2002","Yung Lean",10637693,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
46,"Super Gremlin","Kodak Black",10598193,https://open.spotify.com/track/2bBClS4zzrRd4Aj59NaKSv
47,"Levitating (feat. DaBaby)","Dua Lipa",10456842,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
48,"Do We Have A Problem?","Nicki Minaj",10446446,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
49,"Happier Than Ever","Billie Eilish",10298513,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
50,Beggin',Måneskin,10164502,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
51,Dandelions,"Ruth B.",10065068,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
52,"drivers license","Olivia Rodrigo",9927448,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
53,Medallo,Blessd,9850073,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
54,"Tacones Rojos","Sebastian Yatra",9765155,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
55,"TO THE MOON","Jnr Choi",9614884,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
56,DÁKITI,"Bad Bunny",9565471,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
57,Lost,"Frank Ocean",9561204,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
58,"Malvadão 3",Xamã,9514569,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
59,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",9334474,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
60,"One Right Now (with The Weeknd)","Post Malone",9244537,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
61,"MIDDLE OF THE NIGHT","Elley Duhé",9088598,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
62,"Todo De Ti","Rauw Alejandro",8894367,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
63,Volví,Aventura,8869565,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
64,"Watermelon Sugar","Harry Styles",8692811,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
65,"All For Us - from the HBO Original Series Euphoria",Labrinth,8592314,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
66,MONEY,LISA,8567836,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
67,Notion,"The Rare Occasions",8561636,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
68,Excuses,"AP Dhillon",8500809,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
69,"The Family Madrigal","Stephanie Beatriz",8453402,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
70,Formula,Labrinth,8379503,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
71,"Without Me",Eminem,8215436,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
72,"Save Your Tears","The Weeknd",8212007,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
73,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,8171124,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
74,"Dark Red","Steve Lacy",8113797,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
75,"Down Under (feat. Colin Hay)",Luude,8111043,https://open.spotify.com/track/3Oww84xrmgjyr5J1ilOmAf
76,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",8032713,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
77,"I Hate U",SZA,8005275,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
78,505,"Arctic Monkeys",7968398,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
79,"Black Summer","Red Hot Chili Peppers",7943927,https://open.spotify.com/track/3a94TbZOxhkI9xuNwYL53b
80,SAOKO,ROSALÍA,7803386,https://open.spotify.com/track/2J3oaXTqKjGGHCOQLeBnBA
81,"deja vu","Olivia Rodrigo",7802827,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
82,Nostálgico,Rvssian,7717066,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
83,"It'll Be Okay","Shawn Mendes",7687972,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
84,"Another Love","Tom Odell",7658179,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
85,"Someone You Loved","Lewis Capaldi",7658075,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
86,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7640780,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
87,"Volando - Remix",Mora,7544999,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
88,"Meet Me At Our Spot","THE ANXIETY",7529452,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
89,Butter,BTS,7445679,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
90,"Every Summertime",NIKI,7412617,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
91,Believer,"Imagine Dragons",7411682,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
92,"You Right","Doja Cat",7399950,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
93,"Don't Start Now","Dua Lipa",7349733,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
94,Mujeriego,"Ryan Castro",7343544,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
95,"Smokin Out The Window","Bruno Mars",7296137,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
96,"lovely (with Khalid)","Billie Eilish",7263788,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
97,"The Real Slim Shady",Eminem,7255892,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
98,Dynamite,BTS,7197384,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
99,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,7161983,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
100,"What Else Can I Do?","Diane Guerrero",7152982,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
101,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",7138638,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
102,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",7124116,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
103,Freaks,"Surf Curse",7094010,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
104,"Mal Feito - Ao Vivo","Hugo & Guilherme",7093125,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
105,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,7071512,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
106,212,Chefin,7024310,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
107,"Dos Oruguitas","Sebastian Yatra",6882300,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
108,Swim,"Chase Atlantic",6866524,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
109,"Daddy Issues","The Neighbourhood",6838651,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
110,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,6810100,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
111,"emo girl (feat. WILLOW)","Machine Gun Kelly",6786243,https://open.spotify.com/track/2AAyBZmMVZSZfgzXRYJOWQ
112,"Ovunque Sarai",Irama,6758439,https://open.spotify.com/track/0hluyTCTSua59xYuIRqpe5
113,"A Tu Merced","Bad Bunny",6727390,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
114,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,6703624,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
