,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
115,"Leave The Door Open","Bruno Mars",6699530,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
116,"Mood (feat. iann dior)",24kGoldn,6609452,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
117,"Numb Little Bug","Em Beihold",6484539,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
118,"Alien Blues",Vundabar,6469759,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
119,"Don't Be Shy",Tiësto,6456621,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
120,"I AM WOMAN","Emmy Meli",6442042,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
121,"Get Into It (Yuh)","Doja Cat",6437148,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
122,Thunder,"Gabry Ponte",6431619,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
123,Yellow,Coldplay,6411979,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
124,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",6374716,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
125,Doja,$NOT,6311640,https://open.spotify.com/track/3zpGLSQ8QbbUnNjweWPLMD
126,"No Role Modelz","J. Cole",6295809,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
127,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,6273406,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
128,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",6257730,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
129,Heather,"Conan Gray",6244692,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
130,"Counting Stars",OneRepublic,6240438,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
131,"Locked out of Heaven","Bruno Mars",6211423,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
132,Perfect,"Ed Sheeran",6209722,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
133,"Se Le Ve","Dímelo Flow",6208347,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
134,"Hrs and Hrs","Muni Long",6207706,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
135,"LA CANCIÓN","J Balvin",6200472,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
136,"'Till I Collapse",Eminem,6127427,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
137,"Talking to the Moon","Bruno Mars",6124435,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
138,Malvada,"Zé Felipe",6113064,https://open.spotify.com/track/7gVzhRCrLRUBEGdS7zNTp0
139,Peru,"Fireboy DML",6046489,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
140,"AM Remix","Nio Garcia",6037137,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
141,"Blank Space","Taylor Swift",6026503,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
142,"Lucid Dreams","Juice WRLD",6018964,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
143,"Dance Monkey","Tones And I",6014170,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
144,"Don't Play That","King Von",6011159,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
145,positions,"Ariana Grande",6010851,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
146,Sobrio,Maluma,6002803,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
147,Problemón,"Alvaro Diaz",5998709,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
148,"Shape of You","Ed Sheeran",5982844,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
149,"Rolling in the Deep",Adele,5958299,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
150,High,"The Chainsmokers",5957326,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
151,"Ciao Ciao","La rappresentante di lista",5933484,https://open.spotify.com/track/0jLeyuu6mtsD384054xLah
152,"No Lie","Sean Paul",5930306,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
153,"The Nights",Avicii,5926997,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
154,"Smells Like Teen Spirit - Remastered",Nirvana,5926710,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
155,"The Business",Tiësto,5923754,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
156,happier,"Olivia Rodrigo",5908553,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
157,"Before You Go","Lewis Capaldi",5891141,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
158,"Salimo de Noche","Tiago PZK",5874773,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
159,"Why'd You Only Call Me When You're High?","Arctic Monkeys",5866970,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
160,"Ley Seca","Jhay Cortez",5861377,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
161,"Polaroid Love",ENHYPEN,5851628,https://open.spotify.com/track/5elW2CKSoqjYoJ32AGDxf1
162,"Life Goes On","Oliver Tree",5843049,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
163,"Bloqueado - Ao Vivo","Gusttavo Lima",5833278,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
164,"Gangsta's Paradise",Coolio,5804230,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
165,"LA FAMA (with The Weeknd)",ROSALÍA,5779917,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
166,"One Dance",Drake,5775969,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
167,Circles,"Post Malone",5772791,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
168,"Take Me To Church",Hozier,5766897,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
169,"Mr. Brightside","The Killers",5762284,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
170,"you broke me first","Tate McRae",5742152,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
171,Riptide,"Vance Joy",5741478,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
172,"Still Don't Know My Name",Labrinth,5719164,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
173,Payphone,"Maroon 5",5718117,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
174,"I WANNA BE YOUR SLAVE",Måneskin,5714594,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
175,"All of Me","John Legend",5707901,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
176,Sky,"Playboi Carti",5677031,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
177,"Mount Everest",Labrinth,5676398,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
178,"favorite crime","Olivia Rodrigo",5666932,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
179,2055,"Sleepy Hallow",5657666,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
180,INSUPERABILE,Rkomi,5648877,https://open.spotify.com/track/0GsZZWhBMIQXAmPYPJ3PRQ
181,farfalle,sangiovanni,5640974,https://open.spotify.com/track/5HujDMiRNqZwEzVAh3oFD3
182,RAPSTAR,"Polo G",5628040,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
183,"Space Song","Beach House",5614425,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
184,"Say You Won't Let Go","James Arthur",5564148,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
185,Arcade,"Duncan Laurence",5553409,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
186,"Ella - Remix",Boza,5529426,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
187,Cúrame,"Rauw Alejandro",5529126,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
188,"WA DA DA",Kep1er,5526649,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
189,"family ties (with Kendrick Lamar)","Baby Keem",5524896,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
190,"Waiting On A Miracle","Stephanie Beatriz",5495312,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
191,Streets,"Doja Cat",5494904,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
192,"When I R.I.P.",Labrinth,5477741,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
193,Shallow,"Lady Gaga",5469287,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
194,"Way 2 Sexy (with Future & Young Thug)",Drake,5468106,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
195,Señorita,"Shawn Mendes",5460581,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
196,Memories,"Maroon 5",5458052,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
197,"Is There Someone Else?","The Weeknd",5441664,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
198,"Do I Wanna Know?","Arctic Monkeys",5419876,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
199,"Fair Trade (with Travis Scott)",Drake,5411956,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
200,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,5406521,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
